Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss,max
model_1,c_1,-,-,-,0.6696,0.9888510162,0.7572
model_2,c_2,-,-,-,0.6691,0.9737604592,
model_3,c_3,-,-,-,0.6957,0.9480729114,
model_4,c_4,-,-,-,0.6844,0.938849857,
model_5,c_5,-,-,-,0.69,0.9230113231,
model_6,c_6,-,-,-,0.7031,0.8858775837,
model_7,c_7,-,-,-,0.6819,0.9469366769,
model_8,c_8,-,-,-,0.6637,1.0188716011,
model_9,c_9,-,-,-,0.7048,0.8985873554,
model_10,c_10,-,-,-,0.6645,1.001281336,
model_11,c_11,-,-,-,0.6979,0.8983673954,
model_12,c_12,-,-,-,0.657,1.0182289853,
model_13,m_1,-,-,-,0.637,1.0513378483,
model_14,m_2,-,-,-,0.6901,0.9384157706,
model_15,m_3,-,-,-,0.668,0.9572113813,
model_16,s,-,-,-,0.6226,1.1082304455,
model_17,c_9,c_1,-,-,0.7029,0.8848519289,
model_18,c_9,c_2,-,-,0.7014,0.8832781135,
model_19,c_9,c_3,-,-,0.7148,0.8459940732,
model_20,c_9,c_4,-,-,0.6889,0.9135600724,
model_21,c_9,c_5,-,-,0.7039,0.8834971765,
model_22,c_9,c_6,-,-,0.7349,0.7925871225,
model_23,c_9,c_7,-,-,0.7115,0.8553532787,
model_24,c_9,c_8,-,-,0.7039,0.8793591746,
model_25,c_9,c_9,-,-,0.7284,0.8142765203,
model_26,c_9,c_10,-,-,0.7173,0.8476978738,
model_27,c_9,c_11,-,-,0.6903,0.9010861213,
model_28,c_9,c_12,-,-,0.7103,0.8422005153,
model_29,c_9,m_1,-,-,0.701,0.8709826426,
model_30,c_9,m_2,-,-,0.7192,0.8319652754,
model_31,c_9,m_3,-,-,0.7177,0.841868153,
model_32,c_9,s,-,-,0.716,0.8687820574,
model_33,c_9,c_6,c_1,-,0.7223,0.8257313487,
model_34,c_9,c_6,c_2,-,0.7491,0.7552993671,
model_35,c_9,c_6,c_3,-,0.7364,0.7828789611,
model_36,c_9,c_6,c_4,-,0.7074,0.8616368426,
model_37,c_9,c_6,c_5,-,0.7287,0.7986061312,
model_38,c_9,c_6,c_6,-,0.6955,0.9230237267,
model_39,c_9,c_6,c_7,-,0.7412,0.7749074555,
model_40,c_9,c_6,c_8,-,0.7061,0.9180874579,
model_41,c_9,c_6,c_9,-,0.7254,0.817621081,
model_42,c_9,c_6,c_10,-,0.731,0.7994981464,
model_43,c_9,c_6,c_11,-,0.7309,0.8230694089,
model_44,c_9,c_6,c_12,-,0.7318,0.8181343853,
model_45,c_9,c_6,m_1,-,0.7175,0.8490569091,
model_46,c_9,c_6,m_2,-,0.74,0.7673334515,
model_47,c_9,c_6,m_3,-,0.7285,0.7899537539,
model_48,c_9,c_6,s,-,0.7079,0.8599935456,
model_49,c_9,c_6,c_2,c_1,0.7205,0.8385296098,
model_50,c_9,c_6,c_2,c_2,0.73,0.7836834834,
model_51,c_9,c_6,c_2,c_3,0.7508,0.7397252213,
model_52,c_9,c_6,c_2,c_4,0.7406,0.769555117,
model_53,c_9,c_6,c_2,c_5,0.7196,0.8363813537,
model_54,c_9,c_6,c_2,c_6,0.7209,0.813953719,
model_55,c_9,c_6,c_2,c_7,0.71,0.8447703477,
model_56,c_9,c_6,c_2,c_8,0.7456,0.8020741801,
model_57,c_9,c_6,c_2,c_9,0.7567,0.7287406164,
model_58,c_9,c_6,c_2,c_10,0.7113,0.8387959773,
model_59,c_9,c_6,c_2,c_11,0.7387,0.8045578897,
model_60,c_9,c_6,c_2,c_12,0.7304,0.8202718804,
model_61,c_9,c_6,c_2,m_1,0.7249,0.7986346507,
model_62,c_9,c_6,c_2,m_2,0.7311,0.7895309379,
model_63,c_9,c_6,c_2,m_3,0.7572,0.7241079802,
model_64,c_9,c_6,c_2,s,0.7257,0.8431558945,
